IDP,h2,h2_se,lambda_gc,intercept
0165_FIXED,0.2215,0.0232,1.1333,1.0318
0165,0.2215,0.0232,1.1333,1.0318
0166,0.2179,0.0225,1.1364,1.029
0167,0.2273,0.0232,1.1428,1.0275
0168,0.2884,0.0245,1.1683,1.0254
0169,0.1875,0.0192,1.1175,1.0265
0170,0.2432,0.0231,1.1491,1.0321
0171,0.241,0.0225,1.1491,1.0296
0172,0.1362,0.0202,1.1019,1.0435
0173,0.2379,0.0232,1.127,1.0346
0174,0.2355,0.023,1.127,1.0384
0175,0.306,0.0265,1.1651,1.0326
0176,0.0008,0.0115,0.9957,0.9933
0177,0.3551,0.03,1.1843,1.0418
0178,0.2274,0.022,1.1333,1.0291
0179,0.208,0.0209,1.1113,1.0115
0180,-0.0064,0.011,1.0105,1.0058
0181,0.1417,0.0245,1.0895,1.0158
0182,0.3013,0.0253,1.1587,1.0211
0183,0.15,0.0165,1.1019,1.0187
0184,0.191,0.0169,1.1175,1.0165
0185,0.1948,0.0194,1.1207,1.0328
0186,0.2178,0.0216,1.1301,1.0309
0187,0.2009,0.0215,1.1207,1.0411
0188,0.0891,0.0174,1.0618,1.025
0189,0.1812,0.019,1.1082,1.0165
0190,0.2931,0.026,1.1747,1.0383
0191,0.2301,0.0219,1.1333,1.0367
0192,0.111,0.0166,1.0926,1.0389
0193,0.2777,0.0283,1.1491,1.0299
0194,0.2995,0.0282,1.1715,1.0454
0195,0.2489,0.0221,1.1459,1.0236
0196,0.2951,0.0262,1.1747,1.041
0197,0.2802,0.0273,1.1651,1.0392
0198,0.2576,0.0225,1.1459,1.021
0199,0.2135,0.0224,1.1396,1.0522
0200,0.1951,0.0173,1.1238,1.0312
0201,0.202,0.0214,1.1207,1.0215
0202,0.2716,0.0277,1.1459,1.0226
0203,0.0857,0.014,1.0802,1.029
0204,0.2097,0.0202,1.127,1.022
0206,0.1682,0.0167,1.1019,1.0286
0207,0.3011,0.0264,1.1747,1.0344
0208,0.2228,0.0234,1.1144,1.0288
0209,0.1153,0.0154,1.0679,1.0202
0210,0.2499,0.026,1.1459,1.0343
0211,0.2944,0.0296,1.1747,1.0474
