IDP,rg,rg_se,rg_z,rg_p,h2_idp,h2_idp_se,h2_ea,h2_ea_se
0165,0.068,0.0383,1.7774,0.0755,0.0983,0.0047,0.0983,0.0047
0166,0.0559,0.038,1.472,0.141,0.0983,0.0047,0.0983,0.0047
0167,0.0557,0.0375,1.484,0.1378,0.0983,0.0047,0.0983,0.0047
0168,0.0717,0.0363,1.9737,0.0484,0.0983,0.0047,0.0983,0.0047
0169,0.1057,0.0462,2.2864,0.0222,0.0983,0.0047,0.0983,0.0047
0170,0.0541,0.0376,1.4358,0.1511,0.0983,0.0047,0.0983,0.0047
0171,0.0428,0.0371,1.1562,0.2476,0.0983,0.0047,0.0983,0.0047
0172,0.0018,0.0457,0.039,0.9689,0.0983,0.0047,0.0983,0.0047
0173,0.0222,0.0406,0.5461,0.585,0.0983,0.0047,0.0983,0.0047
0174,0.0051,0.0374,0.1365,0.8914,0.0983,0.0047,0.0983,0.0047
0175,0.1176,0.0325,3.6212,0.0003,0.0983,0.0047,0.0983,0.0047
0177,0.0431,0.0347,1.2416,0.2144,0.0983,0.0047,0.0983,0.0047
0178,0.0164,0.0402,0.4067,0.6842,0.0983,0.0047,0.0983,0.0047
0179,-0.0429,0.0365,-1.1764,0.2395,0.0983,0.0047,0.0983,0.0047
0181,0.0575,0.0465,1.2353,0.2167,0.0983,0.0047,0.0983,0.0047
0182,-0.0616,0.0321,-1.9191,0.055,0.0983,0.0047,0.0983,0.0047
0183,-0.0223,0.0412,-0.542,0.5878,0.0983,0.0047,0.0983,0.0047
0184,-0.0202,0.039,-0.5171,0.6051,0.0983,0.0047,0.0983,0.0047
0185,-0.0565,0.0377,-1.4972,0.1343,0.0983,0.0047,0.0983,0.0047
0186,-0.0785,0.0367,-2.1386,0.0325,0.0983,0.0047,0.0983,0.0047
0187,0.0795,0.0405,1.9618,0.0498,0.0983,0.0047,0.0983,0.0047
0188,0.0657,0.0595,1.1034,0.2698,0.0983,0.0047,0.0983,0.0047
0189,0.0989,0.0472,2.0951,0.0362,0.0983,0.0047,0.0983,0.0047
0190,0.0016,0.0327,0.0499,0.9602,0.0983,0.0047,0.0983,0.0047
0191,0.0071,0.0401,0.1763,0.86,0.0983,0.0047,0.0983,0.0047
0192,0.013,0.0485,0.2691,0.7878,0.0983,0.0047,0.0983,0.0047
0193,0.0166,0.0362,0.4576,0.6472,0.0983,0.0047,0.0983,0.0047
0194,0.0645,0.0395,1.6337,0.1023,0.0983,0.0047,0.0983,0.0047
0195,0.0404,0.0363,1.1107,0.2667,0.0983,0.0047,0.0983,0.0047
0196,0.0352,0.038,0.9255,0.3547,0.0983,0.0047,0.0983,0.0047
0197,0.0126,0.0364,0.3464,0.729,0.0983,0.0047,0.0983,0.0047
0198,0.0214,0.0364,0.588,0.5565,0.0983,0.0047,0.0983,0.0047
0199,0.1096,0.0376,2.9171,0.0035,0.0983,0.0047,0.0983,0.0047
0200,0.0711,0.0429,1.6587,0.0972,0.0983,0.0047,0.0983,0.0047
0201,0.0353,0.0377,0.9338,0.3504,0.0983,0.0047,0.0983,0.0047
0202,0.0527,0.038,1.386,0.1658,0.0983,0.0047,0.0983,0.0047
0203,0.0064,0.057,0.1123,0.9106,0.0983,0.0047,0.0983,0.0047
0204,-0.0056,0.0404,-0.1382,0.8901,0.0983,0.0047,0.0983,0.0047
0206,0.0413,0.0463,0.8928,0.3719,0.0983,0.0047,0.0983,0.0047
0207,0.0039,0.0316,0.1239,0.9014,0.0983,0.0047,0.0983,0.0047
0208,0.0351,0.0429,0.8182,0.4132,0.0983,0.0047,0.0983,0.0047
0209,0.05,0.0474,1.0547,0.2916,0.0983,0.0047,0.0983,0.0047
0210,-0.0094,0.0377,-0.2487,0.8036,0.0983,0.0047,0.0983,0.0047
0211,0.0777,0.0379,2.0478,0.0406,0.0983,0.0047,0.0983,0.0047
0212,0.0425,0.0351,1.2105,0.2261,0.0983,0.0047,0.0983,0.0047
0213,0.0384,0.0392,0.9806,0.3268,0.0983,0.0047,0.0983,0.0047
0214,-0.0111,0.035,-0.3167,0.7514,0.0983,0.0047,0.0983,0.0047
0215,0.0557,0.0377,1.477,0.1397,0.0983,0.0047,0.0983,0.0047
0216,0.0798,0.0381,2.0952,0.0362,0.0983,0.0047,0.0983,0.0047
0217,0.114,0.0421,2.7097,0.0067,0.0983,0.0047,0.0983,0.0047
0218,0.0568,0.0381,1.4915,0.1358,0.0983,0.0047,0.0983,0.0047
0219,0.07,0.0358,1.9534,0.0508,0.0983,0.0047,0.0983,0.0047
0220,0.0908,0.0587,1.5455,0.1222,0.0983,0.0047,0.0983,0.0047
0221,0.0155,0.0436,0.3543,0.7231,0.0983,0.0047,0.0983,0.0047
0648,0.0869,0.0367,2.3647,0.018,0.0983,0.0047,0.0983,0.0047
0649,0.1004,0.0418,2.4045,0.0162,0.0983,0.0047,0.0983,0.0047
0650,-0.0233,0.0536,-0.4347,0.6638,0.0983,0.0047,0.0983,0.0047
0651,-0.0248,0.051,-0.487,0.6263,0.0983,0.0047,0.0983,0.0047
0652,-0.0485,0.0394,-1.2304,0.2185,0.0983,0.0047,0.0983,0.0047
0653,0.141,0.0458,3.0804,0.0021,0.0983,0.0047,0.0983,0.0047
0654,0.048,0.0439,1.093,0.2744,0.0983,0.0047,0.0983,0.0047
0655,0.0802,0.0404,1.9873,0.0469,0.0983,0.0047,0.0983,0.0047
0656,0.1231,0.0374,3.294,0.001,0.0983,0.0047,0.0983,0.0047
0657,-0.0317,0.0428,-0.7407,0.4589,0.0983,0.0047,0.0983,0.0047
0658,-0.0313,0.0434,-0.7211,0.4708,0.0983,0.0047,0.0983,0.0047
0659,0.0448,0.0387,1.1554,0.2479,0.0983,0.0047,0.0983,0.0047
0660,-0.0494,0.0445,-1.1099,0.2671,0.0983,0.0047,0.0983,0.0047
0661,0.066,0.0541,1.2196,0.2226,0.0983,0.0047,0.0983,0.0047
0662,0.1231,0.0373,3.301,0.001,0.0983,0.0047,0.0983,0.0047
0663,0.0424,0.0446,0.9508,0.3417,0.0983,0.0047,0.0983,0.0047
0664,0.0455,0.0452,1.0067,0.3141,0.0983,0.0047,0.0983,0.0047
0665,0.0465,0.0447,1.041,0.2979,0.0983,0.0047,0.0983,0.0047
0666,0.1941,0.0499,3.8896,0.0001,0.0983,0.0047,0.0983,0.0047
